Fajlnev;Magassagi_Szog;Forgasi_Szog;Fenyero_W;Feny_R;Feny_G;Feny_B;Kamera_X;Kamera_Y;Kamera_Z
zizgo_001.png;90.0;0.0;916.45;0.93;0.81;0.83;0.0;0.0;5.0
zizgo_002.png;83.0;222.5;347.23;0.8;0.81;0.75;-0.45;-0.41;4.96
zizgo_003.png;80.1;85.0;1329.76;0.79;0.82;0.77;0.08;0.85;4.93
zizgo_004.png;77.9;307.5;1029.37;0.98;0.91;0.72;0.64;-0.83;4.89
zizgo_005.png;76.0;170.0;161.83;0.73;0.88;0.96;-1.19;0.21;4.85
zizgo_006.png;74.3;32.5;1031.32;1.0;0.8;0.9;1.14;0.72;4.81
zizgo_007.png;72.8;255.0;468.67;0.95;0.74;0.89;-0.38;-1.42;4.78
zizgo_008.png;71.5;117.4;167.34;0.87;0.82;0.95;-0.73;1.41;4.74
zizgo_009.png;70.2;339.9;705.83;0.98;0.96;0.76;1.59;-0.58;4.7
zizgo_010.png;68.9;202.4;717.07;0.72;0.98;0.97;-1.66;-0.69;4.67
zizgo_011.png;67.8;64.9;603.07;0.79;0.88;0.86;0.8;1.71;4.63
zizgo_012.png;66.7;287.4;759.13;0.81;0.87;0.84;0.59;-1.89;4.59
zizgo_013.png;65.6;149.9;300.2;0.71;0.98;0.74;-1.78;1.03;4.55
zizgo_014.png;64.6;12.4;448.15;0.81;0.93;0.94;2.09;0.46;4.52
zizgo_015.png;63.6;234.9;514.22;0.79;0.76;0.81;-1.28;-1.82;4.48
zizgo_016.png;62.7;97.4;235.43;0.77;0.99;0.84;-0.29;2.27;4.44
zizgo_017.png;61.8;319.9;1129.52;0.89;0.72;0.79;1.81;-1.52;4.41
zizgo_018.png;60.9;182.4;523.41;0.76;0.82;0.9;-2.43;-0.1;4.37
zizgo_019.png;60.0;44.9;312.34;0.98;0.77;0.75;1.77;1.76;4.33
zizgo_020.png;59.2;267.4;592.38;0.96;0.8;0.81;-0.12;-2.56;4.29
zizgo_021.png;58.4;129.8;525.82;0.86;0.75;0.73;-1.68;2.01;4.26
zizgo_022.png;57.6;352.3;182.82;0.93;0.84;1.0;2.66;-0.36;4.22
zizgo_023.png;56.8;214.8;1320.13;0.86;0.82;0.93;-2.25;-1.56;4.18
zizgo_024.png;56.0;77.3;117.85;0.86;0.86;0.71;0.61;2.73;4.15
zizgo_025.png;55.3;299.8;259.22;0.98;0.97;0.88;1.42;-2.47;4.11
zizgo_026.png;54.5;162.3;1487.73;0.81;0.81;0.76;-2.76;0.88;4.07
zizgo_027.png;53.8;24.8;578.68;1.0;0.83;0.97;2.68;1.24;4.04
